numUsuario,periodo,anio,lecturaActual,consumoMedidor,precio,importeConsumo,coutaFija,recargos,cooperacion,bonificaciones,sanciones,varios,totalPagar,fechaPAgo,notas,aviso,status
001,4,2019,140,13,4,52,0,50,0,0,0,0,102,2019-09-28,"pago recibo atrasado",,1
001,5,2019,153,13,4,52,0,0,0,0,0,0,52,2019-10-06,,,1
001,6,2019,165,12,4,48,0,0,0,0,0,0,48,NULL,,"Sin aviso",0
002,4,2019,947,11,4,44,0,0,0,0,0,0,44,2019-09-28,,,1
002,5,2019,966,19,4,76,0,0,0,0,0,0,76,2019-10-06,,,1
002,6,2019,977,11,4,44,0,0,0,0,0,0,44,NULL,,"Sin aviso",0
003,4,2019,5034,51,4,204,0,0,0,0,0,0,204,2019-09-21,,,1
003,5,2019,5095,61,4,244,0,0,0,0,0,0,244,2019-10-06,,,1
003,6,2019,5140,45,4,180,0,0,0,0,0,0,180,NULL,,"Sin aviso",0
004,4,2019,37,10,4,40,0,0,0,0,0,0,40,2019-09-21,,,1
004,5,2019,47,10,4,40,0,0,0,0,0,0,40,2019-10-06,,,1
004,6,2019,56,9,4,0,40,0,0,0,0,0,40,NULL,,"Sin aviso",0
005,4,2019,3489,43,4,172,0,0,0,0,0,0,172,2019-09-28,,,1
005,5,2019,3536,47,4,188,0,0,0,0,0,0,188,2019-10-06,,,1
005,6,2019,3579,43,4,172,0,0,0,0,0,0,172,NULL,,"Sin aviso",0
006,4,2019,4049,10,4,40,0,0,0,0,0,0,40,2019-09-21,,,1
006,5,2019,4061,12,4,48,0,0,0,0,0,0,48,2019-10-06,,,1
006,6,2019,4073,12,4,48,0,0,0,0,0,0,48,NULL,,"Sin aviso",0
007,4,2019,1319,15,4,60,0,50,0,0,0,0,110,2019-09-28,"pago recibo atrasado",,1
007,5,2019,1330,11,4,44,0,0,0,0,50,0,94,2019-10-06,,,1
007,6,2019,1341,11,4,44,0,0,0,0,0,0,44,NULL,,"Sin aviso",0
008,4,2019,8498,32,4,128,0,0,0,0,0,0,128,2019-09-28,,,1
008,5,2019,8536,38,4,152,0,0,0,0,0,0,152,2019-10-06,,,1
008,6,2019,8562,26,4,104,0,0,0,0,0,0,104,NULL,,"Sin aviso",0
009,4,2019,709,17,4,68,0,0,0,0,0,0,68,2019-09-28,,,1
009,5,2019,730,21,4,84,0,0,0,0,0,0,84,2019-10-06,,,1
009,6,2019,768,38,4,152,0,0,0,0,0,0,152,NULL,,"Sin aviso",0
010,4,2019,989,83,4,332,0,0,0,0,0,0,332,2019-09-28,,,1
010,5,2019,73,73,4,292,0,0,0,0,50,0,342,2019-10-06,"FALTO REUNION 14 SEPT",,1
010,6,2019,86,13,4,52,0,0,0,0,0,0,52,NULL,,"Sin aviso",0
011,4,2019,571,20,4,80,0,0,0,0,0,0,80,2019-09-21,,,1
011,5,2019,591,20,4,80,0,0,0,0,50,0,130,2019-10-06,,,1
011,6,2019,608,17,4,68,0,0,0,0,0,0,68,NULL,,"Sin aviso",0
012,4,2019,434,27,4,108,0,0,0,0,0,0,108,2019-09-28,,,1
012,5,2019,456,22,4,88,0,0,0,0,0,0,88,2019-10-06,,,1
012,6,2019,476,20,4,80,0,0,0,0,0,0,80,NULL,,"Sin aviso",0
013,4,2019,2031,9,4,0,40,0,0,0,0,0,40,2019-09-21,,,1
013,5,2019,2044,13,4,52,0,0,0,0,0,0,52,2019-10-06,,,1
013,6,2019,2050,6,4,0,40,0,0,0,0,0,40,NULL,,"Sin aviso",0
014,4,2019,2924,28,4,112,0,0,0,0,0,0,112,2019-09-21,,,1
014,5,2019,2954,30,4,120,0,0,0,0,0,0,120,2019-10-06,,,1
014,6,2019,2980,26,4,104,40,0,0,0,0,0,144,NULL,,"Sin aviso",0
015,4,2019,1032,32,4,128,0,0,0,0,0,0,128,2019-09-28,,,1
015,5,2019,1068,36,4,144,0,0,0,0,50,0,194,2019-10-06,"FALTO REUNION 14 SEPT",,1
015,6,2019,1101,33,4,132,40,0,0,0,0,0,172,NULL,,"Sin aviso",0
016,4,2019,1761,67,4,268,0,0,0,0,0,0,268,2019-09-28,,,1
016,5,2019,1835,74,4,296,0,0,0,0,50,0,346,2019-10-06,"FALTO REUNION 14 SEPT",,1
016,6,2019,1906,71,4,284,40,0,0,0,0,0,324,NULL,,"Sin aviso",0
017,4,2019,4360,82,4,328,0,0,0,0,0,0,328,2019-09-28,,,1
017,5,2019,4430,70,4,280,0,0,0,0,0,0,280,2019-10-06,,,1
017,6,2019,4483,53,4,212,40,0,0,0,0,0,252,NULL,,"Sin aviso",0
018,4,2019,2358,21,4,84,0,0,0,0,0,0,84,2019-09-21,,,1
018,5,2019,2379,21,4,84,0,0,0,0,0,0,84,2019-10-06,,,1
018,6,2019,2392,13,4,52,40,0,0,0,0,0,92,NULL,,"Sin aviso",0
019,4,2019,641,35,4,140,0,0,0,0,0,0,140,2019-09-28,,,1
019,5,2019,682,41,4,164,0,0,0,0,0,0,164,2019-10-06,,,1
019,6,2019,721,39,4,156,40,0,0,0,0,0,196,NULL,,"Sin aviso",0
020,4,2019,1318,2,4,0,40,50,0,0,0,0,90,2019-09-28,"pago recibo atrasado",,1
020,5,2019,1321,3,4,0,40,0,0,0,0,0,40,2019-10-06,,,1
020,6,2019,1325,4,4,0,40,0,0,0,0,0,40,NULL,,"Sin aviso",0
021,4,2019,321,10,4,40,0,0,0,0,0,0,40,2019-09-28,,,1
021,5,2019,338,17,4,68,0,0,0,0,0,0,68,2019-10-06,,,1
021,6,2019,345,7,4,0,40,0,0,0,0,0,40,NULL,,"Sin aviso",0
022,4,2019,5616,25,4,100,0,0,0,0,0,0,100,2019-09-21,,,1
022,5,2019,5638,22,4,88,0,0,0,0,0,0,88,2019-10-06,,,1
022,6,2019,5658,20,4,80,40,0,0,0,0,0,120,NULL,,"Sin aviso",0
023,4,2019,0,0,4,0,40,50,0,0,0,0,90,2019-09-28,"pago recibo atrasado",,1
024,4,2019,0,0,4,0,40,50,0,0,0,0,90,2019-09-28,"pago recibo atrasado",,1
025,4,2019,2650,12,4,48,0,0,0,0,0,0,48,2019-09-28,,,1
025,5,2019,2663,13,4,52,0,0,0,0,0,0,52,2019-10-06,,,1
025,6,2019,2690,27,4,108,40,0,0,0,0,0,148,NULL,,"Sin aviso",0
026,4,2019,739,13,4,52,0,0,0,0,0,0,52,2019-09-28,,,1
026,5,2019,753,14,4,56,0,0,0,0,0,0,56,2019-10-06,,,1
026,6,2019,767,14,4,56,40,0,0,0,0,0,96,NULL,,"Sin aviso",0
027,4,2019,281,4,4,0,40,0,0,0,0,0,40,2019-09-21,,,1
027,5,2019,290,9,4,0,40,0,0,0,0,0,40,2019-10-06,,,1
027,6,2019,296,6,4,0,40,0,0,0,0,0,40,NULL,,"Sin aviso",0
028,4,2019,2268,4,4,0,40,50,0,0,0,0,90,2019-09-28,"pago recibo atrasado",,1
028,5,2019,2288,20,4,80,0,0,0,0,0,0,80,2019-10-06,,,1
028,6,2019,2305,17,4,68,40,0,0,0,0,0,108,NULL,,"Sin aviso",0
029,4,2019,285,5,4,0,40,0,0,0,0,0,40,2019-09-28,,,1
029,5,2019,292,7,4,0,40,0,0,0,0,0,40,2019-10-06,,,1
029,6,2019,296,4,4,0,40,0,0,0,0,0,40,NULL,,"Sin aviso",0
030,4,2019,4729,42,4,0,0,0,0,0,0,0,0,2019-11-11,,,1
030,5,2019,4773,44,4,176,0,0,0,0,0,0,176,2019-11-16,,"Sin aviso",1
030,6,2019,4805,32,4,128,40,0,0,0,0,0,168,NULL,,"Sin aviso",0
031,4,2019,2296,14,4,56,0,0,0,0,0,0,56,2019-09-28,,,1
031,5,2019,2341,45,4,180,0,0,0,0,0,0,180,2019-10-06,,,1
031,6,2019,2380,39,4,156,40,0,0,0,0,0,196,NULL,,"Sin aviso",0
032,4,2019,2743,7,4,0,40,0,0,0,0,0,40,2019-09-28,,,1
032,5,2019,2751,8,4,0,40,0,0,0,0,0,40,2019-10-06,,,1
032,6,2019,2757,6,4,0,40,0,0,0,0,0,40,NULL,,"Sin aviso",0
033,4,2019,2135,15,4,60,0,0,0,0,0,0,60,2019-09-28,,,1
033,5,2019,2153,18,4,72,0,0,0,0,0,0,72,2019-10-06,,,1
033,6,2019,2163,10,4,0,40,0,0,0,0,0,40,NULL,,"Sin aviso",0
034,4,2019,861,41,4,164,0,0,0,0,0,0,164,2019-09-28,,,1
034,5,2019,906,45,4,180,0,0,0,0,0,0,180,2019-10-06,,,1
034,6,2019,940,34,4,136,40,0,0,0,0,0,176,NULL,,"Sin aviso",0
035,4,2019,3122,39,4,156,0,0,0,0,0,0,156,2019-09-21,,,1
035,5,2019,3166,44,4,176,0,0,0,0,0,0,176,2019-10-06,,,1
035,6,2019,3205,39,4,156,40,0,0,0,0,0,196,NULL,,"Sin aviso",0
036,4,2019,140,15,4,60,0,0,0,0,0,0,60,2019-09-21,,,1
036,5,2019,156,16,4,64,0,0,0,0,0,0,64,2019-10-06,,,1
036,6,2019,170,14,4,56,40,0,0,0,0,0,96,NULL,,"Sin aviso",0
037,4,2019,721,21,4,84,0,0,0,0,0,0,84,2019-09-28,,,1
